Date,Total Traveler Throughput 2020,Total Traveler Throughput 2019
3/1,2280522,2301439
3/2,2089641,2257920
3/3,1736393,1979558
3/4,1877401,2143619
3/5,2130015,2402692
3/6,2198517,2543689
3/7,1844811,2156262
3/8,2119867,2485430
3/9,1909363,2378673
3/10,1617220,2122898
3/11,1702686,2187298
3/12,1788456,2503924
3/13,1714372,2634215
3/14,1485553,2274658
3/15,1519192,2545742
3/16,1257823,2465709
3/17,953699,2177929
3/18,779631,2320885
3/19,620883,2513231
3/20,593167,2559307
3/21,548132,2227181
3/22,454516,2542643
3/23,331431,2434370
3/24,279018,2151913
3/25,239234,2273811
3/26,203858,2487162
3/27,199644,2538384
3/28,184027,2172920
3/29,180002,2510294
3/30,154080,2360053
3/31,146348,2026256
4/1,136023,2151626
4/2,124021,2411500
4/3,129763,2476884
4/4,118302,2011715
4/5,122029,2462929
4/6,108310,2384091
4/7,97130,2091056
4/8,94931,2229276
4/9,104090,2487398
4/10,108977,2590499
4/11,93645,2059142
4/12,90510,2446801
4/13,102184,2484580
4/14,87534,2208688
4/15,90784,2317381
4/16,95085,2616158
4/17,106385,2457133
4/18,97236,1988205
4/19,105382,2356802
4/20,99344,2594171
4/21,92859,2227475
4/22,98968,2254209
4/23,111627,2526961
4/24,123464,2521897
4/25,114459,1990464
4/26,128875,2506809
4/27,119854,2412770
4/28,110913,2102068
4/29,119629,2256442
4/30,154695,2499461
5/1,171563,2546029
5/2,134261,1968278
5/3,170254,2512598
5/4,163692,2470969
5/5,130601,2106597
5/6,140409,2270662
5/7,190863,2555342
5/8,215444,2602631
5/9,169580,1985942
5/10,200815,2419114
5/11,215645,2512315
5/12,163205,2191387
5/13,176667,2343675
5/14,234928,2611324
5/15,250467,2664549
5/16,193340,2091116
5/17,253807,2620276
5/18,244176,2615691
5/19,190477,2312727
5/20,230367,2472123
5/21,318449,2673635
5/22,348673,2792670
5/23,253190,2124825
5/24,267451,2070716
5/25,340769,2512237
5/26,264843,2453649
5/27,261170,2269035
5/28,321776,2485770
5/29,327133,2570613
5/30,268867,2117180
5/31,352947,2555578
6/1,353261,2499002
6/2,267742,2247421
6/3,304436,2370152
6/4,391882,2623947
6/5,419675,2649808
6/6,353016,2225952
6/7,441255,2669860
6/8,430414,2644981
6/9,338382,2433189
6/10,386969,2509058
6/11,502209,2675686
6/12,519304,2727860
6/13,437119,2318946
6/14,544046,2642083
6/15,534528,2699580
6/16,417924,2466574
6/17,441829,2552395
6/18,576514,2728786
6/19,587908,2772903
6/20,507129,2378559
6/21,590456,2719643
6/22,607540,2716428
6/23,471421,2506510
6/24,494826,2594661
6/25,623624,2711222
6/26,632984,2730515
6/27,546310,2368846
6/28,633810,2632030
6/29,625235,2455536
6/30,500054,2347767
7/1,626516,2547889
7/2,764761,2088760
7/3,718988,2184253
7/4,466669,2345846
7/5,732123,2795369
7/6,755555,2748718
7/7,641761,2506859
7/8,632498,2515902
7/9,709653,2608209
7/10,711124,2716812
7/11,656284,2312178
7/12,754545,2669717
7/13,697985,2615115
7/14,540268,2447177
7/15,589285,2522563
7/16,706164,2716828
7/17,720378,2776960
7/18,646654,2396462
7/19,747422,2727355
7/20,695330,2635312
7/21,530421,2499460
7/22,570951,2561911
7/23,704815,2705399
7/24,724770,2732770
7/25,649027,2364925
7/26,751205,2700723
7/27,700043,2613346
7/28,536756,2438967
7/29,573200,2542365
7/30,718310,2742882
7/31,767320,2730936
8/1,709033,2367967
8/2,799861,2688640
8/3,737235,2619406
8/4,543601,2387115
8/5,595739,2430094
8/6,743599,2707986
8/7,762547,2725000
8/8,683212,2290340
8/9,831789,2647897
8/10,761861,2567986
8/11,559420,2306829
8/12,590749,2391906
8/13,761821,2602446
8/14,783744,2627564
8/15,689895,2171962
8/16,862949,2584444
8/17,773319,2576965
8/18,565946,2247446
8/19,586718,2306838
8/20,772380,2533184
8/21,764468,2559244
8/22,625822,2039233
8/23,841806,2493162
8/24,726788,2358007
8/25,523186,2015088
8/26,540043,2188688
8/27,721060,2561109
8/28,738873,2658558
8/29,591734,1954902
8/30,807695,1887845
8/31,711178,2278159
9/1,516068,2037750
9/2,578131,1889044
9/3,877698,2109858
9/4,968673,2198828
9/5,664640,1755502
9/6,689630,2370003
9/7,935308,2292985
9/8,704075,1943379
9/9,616923,2005867
9/10,755051,2449302
9/11,731353,2484025
9/12,613703,1879822
9/13,809850,2485134
9/14,729558,2405832
9/15,522383,2013050
9/16,577847,2146857
9/17,784746,2455410
9/18,812214,2571924
9/19,638575,1938402
9/20,847968,2517826
9/21,769936,2431388
9/22,549741,2033490
9/23,608726,2188236
9/24,826316,2510926
9/25,826329,2547611
9/26,659350,1966234
9/27,873038,2452596
9/28,797699,2368818
9/29,568688,1998980
9/30,634046,2082179
10/1,855908,2447687
10/2,857186,2526835
10/3,677661,1921185
10/4,900911,2542118
10/5,816838,2400153
10/6,590766,2035628
10/7,668519,2215233
10/8,936915,2605291
10/9,968545,2688032
10/10,769868,2074718
10/11,984234,2555333
10/12,958440,2616771
10/13,680894,2313632
10/14,717940,2317763
10/15,950024,2581007
10/16,973046,2637667
10/17,788743,2049855
10/18,1031505,2606266
10/19,921031,2514673
10/20,662484,2126637
10/21,694150,2245199
10/22,934386,2541581
10/23,958437,2594337
10/24,755287,1931971
10/25,983745,2478287
10/26,898735,2347017
10/27,648517,1910506
10/28,666957,2066516
10/29,873636,2047910
10/30,892712,2319906
10/31,618476,1836781
11/1,936092,2459525
